state,ownership,death
Alabama,3.3519278026121153,84.9325194825688
Alaska,2.375252603761853,106.048638860716
Arizona,2.6477886398328456,83.2485225342838
Arkansas,2.7975098184955525,85.2791703074926
California,0.9060529225880601,49.3333476413108
Colorado,1.786325112525891,79.6335599561415
Connecticut,1.9033862254555507,67.5364375213407
Delaware,0.5181201718612095,82.4808149214526
District of Columbia,7.580997504222073,86.2206713037671
Florida,1.79755913917005,77.1187701130178
Georgia,1.9502215807863537,67.7057618987379
Hawaii,0.5616663094082259,55.5268261576836
Idaho,3.0593327792477676,78.0621450072563
Illinois,1.1281654469766225,65.672912597609
Indiana,1.796509219240723,84.8184942862945
Iowa,1.0041291142129714,62.7334719220962
Kansas,1.9576241717222376,75.9003270657054
Kentucky,1.9254459117024447,99.6486007681093
Louisiana,2.5052873055779767,90.8826270271773
Maine,1.2816011893043453,90.56796942713
Maryland,1.9077928487550844,82.5605817611916
Massachusetts,0.5835430934839535,64.1085689083894
Michigan,0.7194916922388791,77.2025059805326
Minnesota,1.5604294081382117,62.0612170206599
Mississippi,1.3180188331490232,85.8359631907846
Missouri,1.286653934256008,89.5791863355713
Montana,1.9349010417013726,85.9924046691298
Nebraska,1.3068232715788335,56.7871137842788
Nevada,2.9068334334543344,77.9036910274195
New Hampshire,4.4042463667201615,84.2878549809461
New Jersey,0.6621292158561897,60.3221267812349
New Mexico,4.845718773795897,102.877920642524
New York,0.393669349888125,48.0054967208194
North Carolina,1.6077412981987789,78.4949640807767
North Dakota,2.0439691657190364,65.5800938443948
Ohio,1.4865838626203176,99.1152835438648
Oklahoma,1.898183198401166,92.0090031520433
Oregon,1.601486539460497,68.3875600860251
Pennsylvania,2.044154805846877,93.2700337187562
Rhode Island,0.427975942750314,75.3300924241069
South Carolina,2.012511421832274,86.7001457331858
South Dakota,2.627100519049842,84.111533462308
Tennessee,1.6026542052512336,90.8912612578276
Texas,2.2526800947803673,58.9240458749905
Utah,2.706851078056104,73.1769713373321
Vermont,1.061961943824891,78.9719101561009
Virginia,3.872600064698785,63.4929507207334
Washington,1.371017060678449,66.124657162467
West Virginia,2.0838094629698265,131.092230472578
Wisconsin,1.2639153630508448,78.7518133238434
Wyoming,22.10938781146699,88.1309503202863
